#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu May 04 03:48:50 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       lockout_map.ncd
#OUTPUT FILE:      lockout_pad.csv
#PART TYPE:        xc7z020
#SPEED GRADE:      -1
#PACKAGE:          clg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
M17,S_AXI_ARADDR<7>,IOB,IO_L4N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M18,,,GND,,,,,,,,,,,,
M19,,IOB33M,IO_L13P_T2_MRCC_34,UNUSED,,34,,,,,,,,,
M20,,IOB33S,IO_L13N_T2_MRCC_34,UNUSED,,34,,,,,,,,,
M21,,IOB33M,IO_L15P_T2_DQS_34,UNUSED,,34,,,,,,,,,
M22,,IOB33S,IO_L15N_T2_DQS_34,UNUSED,,34,,,,,,,,,
N1,,,GND,,,,,,,,,,,,
N2,,IOPAD,PS_DDR_DQS_P2_502,UNUSED,,,,,,,,,,,
N3,,IOPAD,PS_DDR_DQ18_502,UNUSED,,,,,,,,,,,
N4,,IOPAD,PS_DDR_CKP_502,UNUSED,,,,,,,,,,,
N5,,IOPAD,PS_DDR_CKN_502,UNUSED,,,,,,,,,,,
N6,,,VCCO_DDR_502,,,,,,,,any******,,,,
N7,,IOPAD,PS_DDR_VRP_502,UNUSED,,,,,,,,,,,
N8,,,VCCPINT,,,,,,,,,,,,
N9,,,GND,,,,,,,,,,,,
N10,,,VCCAUX,,,,,,,,1.8,,,,
N11,,,DXP_0,,,,,,,,,,,,
N12,,,DXN_0,,,,,,,,,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.0,,,,
N15,,IOB33M,IO_L19P_T3_34,UNUSED,,34,,,,,,,,,
N16,,,VCCO_34,,,34,,,,,1.80,,,,
N17,S_AXI_ARADDR<8>,IOB,IO_L5P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N18,S_AXI_ARADDR<5>,IOB,IO_L5N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N19,,IOB33M,IO_L14P_T2_SRCC_34,UNUSED,,34,,,,,,,,,
N20,,IOB33S,IO_L14N_T2_SRCC_34,UNUSED,,34,,,,,,,,,
N21,,,GND,,,,,,,,,,,,
N22,,IOB33M,IO_L16P_T2_34,UNUSED,,34,,,,,,,,,
P1,,IOPAD,PS_DDR_DM2_502,UNUSED,,,,,,,,,,,
P2,,IOPAD,PS_DDR_DQS_N2_502,UNUSED,,,,,,,,,,,
P3,,IOPAD,PS_DDR_CAS_B_502,UNUSED,,,,,,,,,,,
P4,,,GND,,,,,,,,,,,,
P5,,IOPAD,PS_DDR_ODT_502,UNUSED,,,,,,,,,,,
P6,,IOPAD,PS_DDR_CS_B_502,UNUSED,,,,,,,,,,,
P7,,,PS_DDR_VREF1_502,,,,,,,,,,,,
P8,,,GND,,,,,,,,,,,,
P9,,,VCCPAUX,,,,,,,,,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCAUX,,,,,,,,1.8,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.0,,,,
P14,,,GND,,,,,,,,,,,,
P15,,IOB33S,IO_L19N_T3_VREF_34,UNUSED,,34,,,,,,,,,
P16,,IOB33M,IO_L24P_T3_34,UNUSED,,34,,,,,,,,,
P17,,IOB33M,IO_L20P_T3_34,UNUSED,,34,,,,,,,,,
P18,,IOB33S,IO_L20N_T3_34,UNUSED,,34,,,,,,,,,
P19,,,VCCO_34,,,34,,,,,1.80,,,,
P20,,IOB33M,IO_L18P_T2_34,UNUSED,,34,,,,,,,,,
P21,,IOB33S,IO_L18N_T2_34,UNUSED,,34,,,,,,,,,
P22,,IOB33S,IO_L16N_T2_34,UNUSED,,34,,,,,,,,,
R1,,IOPAD,PS_DDR_DQ23_502,UNUSED,,,,,,,,,,,
R2,,,VCCO_DDR_502,,,,,,,,any******,,,,
R3,,IOPAD,PS_DDR_DQ20_502,UNUSED,,,,,,,,,,,
R4,,IOPAD,PS_DDR_WE_B_502,UNUSED,,,,,,,,,,,
R5,,IOPAD,PS_DDR_RAS_B_502,UNUSED,,,,,,,,,,,
R6,,IOB33M,IO_L19P_T3_13,UNUSED,,13,,,,,,,,,
R7,,IOB33,IO_0_13,UNUSED,,13,,,,,,,,,
R8,,,VCCPINT,,,,,,,,,,,,
R9,,,GND,,,,,,,,,,,,
R10,,,VCCAUX,,,,,,,,1.8,,,,
R11,,,GND,,,,,,,,,,,,
R12,,,VCCO_0,,,0,,,,,any******,,,,
R13,,,GND,,,,,,,,,,,,
R14,,,VCCINT,,,,,,,,1.0,,,,
R15,,IOB33,IO_25_34,UNUSED,,34,,,,,,,,,
R16,,IOB33S,IO_L24N_T3_34,UNUSED,,34,,,,,,,,,
R17,,,GND,,,,,,,,,,,,
R18,,IOB33M,IO_L23P_T3_34,UNUSED,,34,,,,,,,,,
R19,,IOB33M,IO_L22P_T3_34,UNUSED,,34,,,,,,,,,
R20,,IOB33M,IO_L17P_T2_34,UNUSED,,34,,,,,,,,,
R21,,IOB33S,IO_L17N_T2_34,UNUSED,,34,,,,,,,,,
R22,,,VCCO_34,,,34,,,,,1.80,,,,
T1,,IOPAD,PS_DDR_DQ19_502,UNUSED,,,,,,,,,,,
T2,,IOPAD,PS_DDR_DQ21_502,UNUSED,,,,,,,,,,,
T3,,IOPAD,PS_DDR_DQ17_502,UNUSED,,,,,,,,,,,
T4,,IOB33M,IO_L20P_T3_13,UNUSED,,13,,,,,,,,,
T5,,,VCCO_13,,,13,,,,,1.80,,,,
T6,,IOB33S,IO_L19N_T3_VREF_13,UNUSED,,13,,,,,,,,,
T7,,,RSVDVCC1,,,,,,,,,,,,
T8,,,RSVDVCC2,,,,,,,,,,,,
T9,,,VCCPAUX,,,,,,,,,,,,
T10,,,RSVDVCC3,,,,,,,,,,,,
T11,,,PROGRAM_B_0,,,,,,,,,,,,
T12,,,DONE_0,,,,,,,,,,,,
T13,,,CFGBVS_0,,,,,,,,,,,,
T14,,,INIT_B_0,,,,,,,,,,,,
T15,,,VCCO_34,,,34,,,,,1.80,,,,
T16,,IOB33M,IO_L21P_T3_DQS_34,UNUSED,,34,,,,,,,,,
T17,,IOB33S,IO_L21N_T3_DQS_34,UNUSED,,34,,,,,,,,,
T18,,IOB33S,IO_L23N_T3_34,UNUSED,,34,,,,,,,,,
T19,,IOB33S,IO_L22N_T3_34,UNUSED,,34,,,,,,,,,
T20,,,GND,,,,,,,,,,,,
T21,,IOB33M,IO_L1P_T0_33,UNUSED,,33,,,,,,,,,
T22,,IOB33M,IO_L2P_T0_33,UNUSED,,33,,,,,,,,,
U1,,IOPAD,PS_DDR_DQ25_502,UNUSED,,,,,,,,,,,
U2,,IOPAD,PS_DDR_DQ27_502,UNUSED,,,,,,,,,,,
U3,,,GND,,,,,,,,,,,,
U4,,IOB33S,IO_L20N_T3_13,UNUSED,,13,,,,,,,,,
U5,,IOB33S,IO_L22N_T3_13,UNUSED,,13,,,,,,,,,
U6,,IOB33M,IO_L22P_T3_13,UNUSED,,13,,,,,,,,,
U7,,IOB33,IO_25_13,UNUSED,,13,,,,,,,,,
U8,,,VCCO_13,,,13,,,,,1.80,,,,
U9,,IOB33S,IO_L6N_T0_VREF_13,UNUSED,,13,,,,,,,,,
U10,,IOB33M,IO_L6P_T0_13,UNUSED,,13,,,,,,,,,
U11,,IOB33S,IO_L5N_T0_13,UNUSED,,13,,,,,,,,,
U12,,IOB33M,IO_L5P_T0_13,UNUSED,,13,,,,,,,,,
U13,,,GND,,,,,,,,,,,,
U14,,IOB33,IO_25_33,UNUSED,,33,,,,,,,,,
U15,,IOB33M,IO_L15P_T2_DQS_33,UNUSED,,33,,,,,,,,,
U16,,IOB33S,IO_L15N_T2_DQS_33,UNUSED,,33,,,,,,,,,
U17,,IOB33M,IO_L16P_T2_33,UNUSED,,33,,,,,,,,,
U18,,,VCCO_33,,,33,,,,,any******,,,,
U19,,IOB33,IO_0_33,UNUSED,,33,,,,,,,,,
U20,,IOB33M,IO_L5P_T0_33,UNUSED,,33,,,,,,,,,
U21,,IOB33S,IO_L1N_T0_33,UNUSED,,33,,,,,,,,,
U22,,IOB33S,IO_L2N_T0_33,UNUSED,,33,,,,,,,,,
V1,,,VCCO_DDR_502,,,,,,,,any******,,,,
V2,,IOPAD,PS_DDR_DQS_P3_502,UNUSED,,,,,,,,,,,
V3,,IOPAD,PS_DDR_CKE_502,UNUSED,,,,,,,,,,,
V4,,IOB33S,IO_L21N_T3_DQS_13,UNUSED,,13,,,,,,,,,
V5,,IOB33M,IO_L21P_T3_DQS_13,UNUSED,,13,,,,,,,,,
V6,,,GND,,,,,,,,,,,,
V7,,IOB33M,IO_L23P_T3_13,UNUSED,,13,,,,,,,,,
V8,,IOB33M,IO_L2P_T0_13,UNUSED,,13,,,,,,,,,
V9,,IOB33S,IO_L1N_T0_13,UNUSED,,13,,,,,,,,,
V10,,IOB33M,IO_L1P_T0_13,UNUSED,,13,,,,,,,,,
V11,,,VCCO_13,,,13,,,,,1.80,,,,
V12,,IOB33M,IO_L4P_T0_13,UNUSED,,13,,,,,,,,,
V13,,IOB33M,IO_L20P_T3_33,UNUSED,,33,,,,,,,,,
V14,,IOB33M,IO_L19P_T3_33,UNUSED,,33,,,,,,,,,
V15,,IOB33S,IO_L19N_T3_VREF_33,UNUSED,,33,,,,,,,,,
V16,,,GND,,,,,,,,,,,,
V17,,IOB33S,IO_L16N_T2_33,UNUSED,,33,,,,,,,,,
V18,,IOB33M,IO_L6P_T0_33,UNUSED,,33,,,,,,,,,
V19,,IOB33S,IO_L6N_T0_VREF_33,UNUSED,,33,,,,,,,,,
V20,,IOB33S,IO_L5N_T0_33,UNUSED,,33,,,,,,,,,
V21,,,VCCO_33,,,33,,,,,any******,,,,
V22,,IOB33M,IO_L3P_T0_DQS_33,UNUSED,,33,,,,,,,,,
W1,,IOPAD,PS_DDR_DQ28_502,UNUSED,,,,,,,,,,,
W2,,IOPAD,PS_DDR_DQS_N3_502,UNUSED,,,,,,,,,,,
W3,,IOPAD,PS_DDR_DQ30_502,UNUSED,,,,,,,,,,,
W4,,,VCCO_13,,,13,,,,,1.80,,,,
W5,,IOB33S,IO_L24N_T3_13,UNUSED,,13,,,,,,,,,
W6,,IOB33M,IO_L24P_T3_13,UNUSED,,13,,,,,,,,,
W7,,IOB33S,IO_L23N_T3_13,UNUSED,,13,,,,,,,,,
W8,,IOB33S,IO_L2N_T0_13,UNUSED,,13,,,,,,,,,
W9,,,GND,,,,,,,,,,,,
W10,,IOB33S,IO_L3N_T0_DQS_13,UNUSED,,13,,,,,,,,,
W11,,IOB33M,IO_L3P_T0_DQS_13,UNUSED,,13,,,,,,,,,
W12,,IOB33S,IO_L4N_T0_13,UNUSED,,13,,,,,,,,,
W13,,IOB33S,IO_L20N_T3_33,UNUSED,,33,,,,,,,,,
W14,,,VCCO_33,,,33,,,,,any******,,,,
W15,,IOB33M,IO_L21P_T3_DQS_33,UNUSED,,33,,,,,,,,,
W16,,IOB33M,IO_L14P_T2_SRCC_33,UNUSED,,33,,,,,,,,,
W17,,IOB33M,IO_L13P_T2_MRCC_33,UNUSED,,33,,,,,,,,,
W18,,IOB33S,IO_L13N_T2_MRCC_33,UNUSED,,33,,,,,,,,,
W19,,,GND,,,,,,,,,,,,
W20,,IOB33M,IO_L4P_T0_33,UNUSED,,33,,,,,,,,,
W21,,IOB33S,IO_L4N_T0_33,UNUSED,,33,,,,,,,,,
W22,,IOB33S,IO_L3N_T0_DQS_33,UNUSED,,33,,,,,,,,,
Y1,,IOPAD,PS_DDR_DQ31_502,UNUSED,,,,,,,,,,,
Y2,,,GND,,,,,,,,,,,,
Y3,,IOPAD,PS_DDR_DQ29_502,UNUSED,,,,,,,,,,,
Y4,,IOB33M,IO_L18P_T2_13,UNUSED,,13,,,,,,,,,
Y5,,IOB33S,IO_L13N_T2_MRCC_13,UNUSED,,13,,,,,,,,,
Y6,,IOB33M,IO_L13P_T2_MRCC_13,UNUSED,,13,,,,,,,,,
Y7,,,VCCO_13,,,13,,,,,1.80,,,,
Y8,,IOB33S,IO_L12N_T1_MRCC_13,UNUSED,,13,,,,,,,,,
Y9,,IOB33M,IO_L12P_T1_MRCC_13,UNUSED,,13,,,,,,,,,
Y10,,IOB33S,IO_L10N_T1_13,UNUSED,,13,,,,,,,,,
Y11,,IOB33M,IO_L10P_T1_13,UNUSED,,13,,,,,,,,,
Y12,,,GND,,,,,,,,,,,,
Y13,,IOB33M,IO_L23P_T3_33,UNUSED,,33,,,,,,,,,
Y14,,IOB33M,IO_L22P_T3_33,UNUSED,,33,,,,,,,,,
Y15,,IOB33S,IO_L21N_T3_DQS_33,UNUSED,,33,,,,,,,,,
Y16,,IOB33S,IO_L14N_T2_SRCC_33,UNUSED,,33,,,,,,,,,
Y17,,,VCCO_33,,,33,,,,,any******,,,,
Y18,,IOB33M,IO_L12P_T1_MRCC_33,UNUSED,,33,,,,,,,,,
Y19,,IOB33M,IO_L11P_T1_SRCC_33,UNUSED,,33,,,,,,,,,
Y20,,IOB33M,IO_L9P_T1_DQS_33,UNUSED,,33,,,,,,,,,
Y21,,IOB33S,IO_L9N_T1_DQS_33,UNUSED,,33,,,,,,,,,
Y22,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
